6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,4.00,,,
17.00,1.00,,,
18.00,4.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,4.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,2.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,4.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,4.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,4.00,,,
17.00,1.00,,,
18.00,4.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,4.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,2.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,4.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,4.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,4.00,,,
17.00,1.00,,,
18.00,4.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,4.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,2.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,4.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,4.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,4.00,,,
17.00,1.00,,,
18.00,4.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,4.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,2.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,4.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,4.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,4.00,,,
17.00,1.00,,,
18.00,4.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,4.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,2.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,4.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,4.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,4.00,,,
17.00,1.00,,,
18.00,4.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,4.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,2.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,4.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,2.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,2.00,,,
17.00,1.00,,,
18.00,4.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,4.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,2.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,4.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,2.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,2.00,,,
17.00,1.00,,,
18.00,4.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,4.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,2.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,4.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,2.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,2.00,,,
17.00,1.00,,,
18.00,4.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,4.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,2.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,4.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,2.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,2.00,,,
17.00,1.00,,,
18.00,4.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,4.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,2.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,4.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,2.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,2.00,,,
17.00,1.00,,,
18.00,4.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,4.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,2.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,4.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,2.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,2.00,,,
17.00,1.00,,,
18.00,4.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,4.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,2.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,4.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,2.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,2.00,,,
17.00,1.00,,,
18.00,4.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,4.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,2.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,4.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,2.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,2.00,,,
17.00,1.00,,,
18.00,4.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,4.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,2.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,4.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,2.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,2.00,,,
17.00,1.00,,,
18.00,4.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,4.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,2.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,4.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,6.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,2.00,,,
17.00,1.00,,,
18.00,4.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,6.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,2.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,6.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,4.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,6.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,6.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,2.00,,,
17.00,1.00,,,
18.00,6.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,6.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,6.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,4.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,6.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,6.00,,,
13.00,4.00,,,
14.00,4.00,,,
15.00,1.00,,,
16.00,2.00,,,
17.00,1.00,,,
18.00,6.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,6.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,6.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,6.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,6.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,6.00,,,
15.00,1.00,,,
16.00,2.00,,,
17.00,1.00,,,
18.00,6.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,6.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,6.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,6.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,6.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,6.00,,,
15.00,1.00,,,
16.00,2.00,,,
17.00,1.00,,,
18.00,6.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,6.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,6.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,6.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,6.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
9.00,1.00,,,
10.00,1.00,,,
11.00,2.00,,,
12.00,1.00,,,
13.00,4.00,,,
14.00,6.00,,,
15.00,1.00,,,
16.00,2.00,,,
17.00,1.00,,,
18.00,6.00,,,
19.00,1.00,,,
20.00,1.00,,,
21.00,5.00,,,
22.00,4.00,,,
23.00,1.00,,,
24.00,1.00,,,
25.00,4.00,,,
26.00,1.00,,,
27.00,2.00,,,
28.00,4.00,,,
29.00,1.00,,,
30.00,6.00,,,
31.00,4.00,,,
32.00,2.00,,,
33.00,6.00,,,
34.00,2.00,,,
35.00,1.00,,,
36.00,2.00,,,
37.00,1.00,,,
38.00,1.00,,,
39.00,3.00,,,
40.00,3.00,,,
41.00,1.00,,,
42.00,3.00,,,
43.00,3.00,,,
44.00,2.00,,,
45.00,3.00,,,
46.00,5.00,,,
47.00,3.00,,,
48.00,3.00,,,
49.00,3.00,,,
50.00,3.00,,,
51.00,1.00,,,
52.00,3.00,,,
53.00,3.00,,,
54.00,3.00,,,
55.00,3.00,,,
56.00,3.00,,,
57.00,1.00,,,
58.00,3.00,,,
59.00,3.00,,,
,,,,
0.00,6.00,,,
1.00,5.00,,,
2.00,4.00,,,
3.00,4.00,,,
4.00,1.00,,,
5.00,6.00,,,
6.00,2.00,,,
7.00,1.00,,,
8.00,1.00,,,
